"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","first.two.char","first.three.char","year"
"FDC57",20.1,"Regular",0.0978920301397607,"Fruits and Vegetables",193.982,"OUT019","Small","Tier 1","Grocery Store",579.246,"FD","FDC","28"
"DRC01",5.92,"Regular",0.0193137378824877,"Soft Drinks",49.0692,"OUT017","Small","Tier 2","Supermarket Type1",1478.076,"DR","DRC","6"
"DRD27",18.75,"Low Fat",0.0239811398232504,"Dairy",99.0042,"OUT017","Small","Tier 2","Supermarket Type1",694.4294,"DR","DRD","6"
"FDI12",9.395,"Regular",0.100608582491011,"Baking Goods",88.3856,"OUT045","Small","Tier 2","Supermarket Type1",703.0848,"FD","FDI","11"
"FDQ33",13.35,"Low Fat",0.0911789984188947,"Snack Foods",149.3708,"OUT035","Small","Tier 2","Supermarket Type1",4514.124,"FD","FDQ","9"
"FDQ27",5.19,"Regular",0.0793482213027667,"Meat",101.399,"OUT019","Small","Tier 1","Grocery Store",206.398,"FD","FDQ","28"
"NCB07",19.2,"Low Fat",0.132776316642099,"Household",196.211,"OUT010","Small","Tier 3","Grocery Store",589.233,"NC","NCB","15"
"FDC08",19,"Regular",0.103345963795898,"Fruits and Vegetables",226.172,"OUT013","High","Tier 3","Supermarket Type1",3169.208,"FD","FDC","26"
"FDD20",14.15,"Low Fat",0.0207119835292788,"Fruits and Vegetables",124.2046,"OUT046","Small","Tier 1","Supermarket Type1",2490.092,"FD","FDD","16"
"FDS24",20.85,"Regular",0.0622052653548603,"Baking Goods",88.1514,"OUT035","Small","Tier 2","Supermarket Type1",1151.1682,"FD","FDS","9"
"FDH34",8.63,"Low Fat",0.0312794436887213,"Snack Foods",186.0582,"OUT017","Small","Tier 2","Supermarket Type1",3900.9222,"FD","FDH","6"
"NCX30",16.7,"Low Fat",0.0267352052107262,"Household",248.4776,"OUT018","Medium","Tier 3","Other Supermarket",6439.6176,"NC","NCX","4"
"FDM01",7.895,"Regular",0.0945555876561736,"Breakfast",104.5332,"OUT046","Small","Tier 1","Supermarket Type1",1845.5976,"FD","FDM","16"
"FDB20",7.72,"Low Fat",0.0519283955597569,"Fruits and Vegetables",77.9986,"OUT013","High","Tier 3","Supermarket Type1",934.7832,"FD","FDB","26"
"NCK29",5.615,"Low Fat",0.126514031684131,"Health and Hygiene",121.573,"OUT017","Small","Tier 2","Supermarket Type1",3202.498,"NC","NCK","6"
"FDS11",7.05,"Regular",0.0556465642642392,"Breads",224.9088,"OUT049","Medium","Tier 1","Supermarket Type1",2684.5056,"FD","FDS","14"
"NCV41",14.35,"Low Fat",0.0291887182217064,"Health and Hygiene",109.2228,"OUT010","Small","Tier 3","Grocery Store",221.0456,"NC","NCV","15"
"DRL60",8.52,"Low Fat",0.0271022478991528,"Soft Drinks",151.7682,"OUT049","Medium","Tier 1","Supermarket Type1",2439.4912,"DR","DRL","14"
"FDV10",7.645,"Regular",0.0671011930851732,"Snack Foods",44.0112,"OUT017","Small","Tier 2","Supermarket Type1",596.5568,"FD","FDV","6"
"FDV09",12.1,"Low Fat",0.02065710394976,"Snack Foods",149.5734,"OUT018","Medium","Tier 3","Other Supermarket",2227.101,"FD","FDV","4"
"FDQ39",14.8,"Low Fat",0.0810322007419418,"Meat",192.4846,"OUT046","Small","Tier 1","Supermarket Type1",5159.2842,"FD","FDQ","16"
"DRE49",20.75,"Low Fat",0.0213414640483162,"Soft Drinks",153.6024,"OUT018","Medium","Tier 3","Other Supermarket",1366.2216,"DR","DRE","4"
"FDR45",10.8,"Low Fat",0.0290037254869311,"Snack Foods",238.6222,"OUT045","Small","Tier 2","Supermarket Type1",8604.7992,"FD","FDR","11"
"DRJ23",18.35,"Low Fat",0.0713819579743689,"Hard Drinks",190.2872,"OUT010","Small","Tier 3","Grocery Store",378.1744,"DR","DRJ","15"
"FDQ26",13.5,"Regular",0.0681645335367619,"Dairy",58.6562,"OUT018","Medium","Tier 3","Other Supermarket",711.0744,"FD","FDQ","4"
"NCA06",20.5,"Low Fat",0.144132369166998,"Household",34.819,"OUT017","Small","Tier 2","Supermarket Type1",1061.951,"NC","NCA","6"
"FDT24",12.35,"Regular",0.186659269643307,"Baking Goods",78.6328,"OUT018","Medium","Tier 3","Other Supermarket",1004.0264,"FD","FDT","4"
"DRG27",8.895,"Low Fat",0.105330172503706,"Dairy",39.1138,"OUT045","Small","Tier 2","Supermarket Type1",609.207,"DR","DRG","11"
"FDR02",16.7,"Low Fat",0.0221117503810818,"Dairy",110.8886,"OUT045","Small","Tier 2","Supermarket Type1",3558.0352,"FD","FDR","11"
"DRG37",16.2,"Low Fat",0.0193724485962998,"Soft Drinks",155.8972,"OUT035","Small","Tier 2","Supermarket Type1",2025.3636,"DR","DRG","9"
"FDJ07",7.26,"Low Fat",0.0144856032484479,"Meat",118.115,"OUT018","Medium","Tier 3","Other Supermarket",1864.24,"FD","FDJ","4"
"FDP32",6.65,"Low Fat",0.0878084346673965,"Fruits and Vegetables",126.7678,"OUT049","Medium","Tier 1","Supermarket Type1",1907.517,"FD","FDP","14"
"FDV59",13.35,"Low Fat",0.0480211551854688,"Breads",218.9166,"OUT046","Small","Tier 1","Supermarket Type1",5660.6316,"FD","FDV","16"
"FDP60",17.35,"Low Fat",0.0559015750763135,"Baking Goods",99.8016,"OUT035","Small","Tier 2","Supermarket Type1",607.2096,"FD","FDP","9"
"FDE32",20.7,"Low Fat",0.048503535841242,"Fruits and Vegetables",39.6506,"OUT027","Medium","Tier 3","Other Supermarket",1024.6662,"FD","FDE","28"
"FDK26",5.46,"Regular",0.0323680118774578,"Canned",187.424,"OUT017","Small","Tier 2","Supermarket Type1",3169.208,"FD","FDK","6"
"FDW28",18.25,"Low Fat",0.0887968236293571,"Frozen Foods",197.3452,"OUT035","Small","Tier 2","Supermarket Type1",2740.4328,"FD","FDW","9"
"FDP56",8.185,"Low Fat",0.0465578113166829,"Fruits and Vegetables",47.7692,"OUT049","Medium","Tier 1","Supermarket Type1",640.4996,"FD","FDP","14"
"FDT25",7.5,"Low Fat",0.0507447552482288,"Canned",122.2072,"OUT046","Small","Tier 1","Supermarket Type1",1960.1152,"FD","FDT","16"
"FDQ12",12.65,"Low Fat",0.0353998136891614,"Baking Goods",230.601,"OUT035","Small","Tier 2","Supermarket Type1",2067.309,"FD","FDQ","9"
"FDR60",14.3,"Low Fat",0.130374848620277,"Baking Goods",77.2328,"OUT035","Small","Tier 2","Supermarket Type1",231.6984,"FD","FDR","9"
"FDZ10",17.85,"Low Fat",0.0761693368865665,"Snack Foods",128.002,"OUT010","Small","Tier 3","Grocery Store",253.004,"FD","FDZ","15"
"FDM13",6.425,"Low Fat",0.1082241304026,"Breakfast",130.5626,"OUT010","Small","Tier 3","Grocery Store",131.1626,"FD","FDM","15"
"FDF26",6.825,"Regular",0.0467321371301411,"Canned",153.4998,"OUT045","Small","Tier 2","Supermarket Type1",2153.1972,"FD","FDF","11"
"FDN02",16.5,"Low Fat",0.0734410759925431,"Canned",205.3638,"OUT027","Medium","Tier 3","Other Supermarket",5383.6588,"FD","FDN","28"
"NCI30",20.25,"Low Fat",0.0588762564551549,"Household",245.546,"OUT013","High","Tier 3","Supermarket Type1",1724.422,"NC","NCI","26"
"NCJ31",19.2,"Low Fat",0.182943264162444,"Others",243.0196,"OUT049","Medium","Tier 1","Supermarket Type1",3615.294,"NC","NCJ","14"
"NCQ54",17.7,"Low Fat",0.0214860403124522,"Household",166.8474,"OUT010","Small","Tier 3","Grocery Store",168.4474,"NC","NCQ","15"
"FDB02",9.695,"Regular",0.0292251757606882,"Canned",175.437,"OUT045","Small","Tier 2","Supermarket Type1",2999.429,"FD","FDB","11"
"FDC02",21.35,"Low Fat",0.068462019806682,"Canned",259.3278,"OUT027","Medium","Tier 3","Other Supermarket",4165.2448,"FD","FDC","28"
"FDA11",7.75,"Low Fat",0.0433291081521588,"Baking Goods",95.6436,"OUT045","Small","Tier 2","Supermarket Type1",1134.5232,"FD","FDA","11"
"DRI23",18.85,"Low Fat",0.136478383550352,"Hard Drinks",159.6578,"OUT027","Medium","Tier 3","Other Supermarket",2888.2404,"DR","DRI","28"
"FDE04",19.75,"Regular",0.0180516351011932,"Frozen Foods",179.866,"OUT049","Medium","Tier 1","Supermarket Type1",2696.49,"FD","FDE","14"
"FDW38",5.325,"Regular",0.237569361017233,"Dairy",55.5298,"OUT010","Small","Tier 3","Grocery Store",53.9298,"FD","FDW","15"
"FDG46",8.63,"Regular",0.0590094489705897,"Snack Foods",115.4518,"OUT019","Small","Tier 1","Grocery Store",113.8518,"FD","FDG","28"
"NCJ05",18.7,"Low Fat",0.0458468865997317,"Health and Hygiene",152.3682,"OUT027","Medium","Tier 3","Other Supermarket",2287.023,"NC","NCJ","28"
"FDU01",20.25,"Regular",0.0215084076739151,"Canned",185.1924,"OUT019","Small","Tier 1","Grocery Store",555.2772,"FD","FDU","28"
"FDY11",6.71,"Regular",0.0297355565400705,"Baking Goods",66.6142,"OUT017","Small","Tier 2","Supermarket Type1",1120.5414,"FD","FDY","6"
"FDX60",14.35,"Low Fat",0.0805130884383001,"Baking Goods",79.296,"OUT013","High","Tier 3","Supermarket Type1",719.064,"FD","FDX","26"
"NCN29",15.2,"Low Fat",0.0121757769947212,"Health and Hygiene",47.8034,"OUT049","Medium","Tier 1","Supermarket Type1",437.4306,"NC","NCN","14"
"FDT07",5.82,"Regular",0.0773998144372189,"Fruits and Vegetables",256.633,"OUT049","Medium","Tier 1","Supermarket Type1",2050.664,"FD","FDT","14"
"FDI21",5.59,"Regular",0.0568464434080551,"Snack Foods",61.9168,"OUT018","Medium","Tier 3","Other Supermarket",1214.4192,"FD","FDI","4"
"FDI41",18.5,"Regular",0.0622492886915914,"Frozen Foods",148.0418,"OUT046","Small","Tier 1","Supermarket Type1",2059.9852,"FD","FDI","16"
"FDE10",6.67,"Regular",0.0894770173089105,"Snack Foods",133.1626,"OUT027","Medium","Tier 3","Other Supermarket",3672.5528,"FD","FDE","28"
"FDQ28",14,"Regular",0.0604196540208388,"Frozen Foods",153.5656,"OUT046","Small","Tier 1","Supermarket Type1",3089.312,"FD","FDQ","16"
"FDY32",7.605,"Low Fat",0.221399718044184,"Fruits and Vegetables",165.021,"OUT010","Small","Tier 3","Grocery Store",815.605,"FD","FDY","15"
"NCK05",20.1,"Low Fat",0.138881200439365,"Health and Hygiene",61.1536,"OUT019","Small","Tier 1","Grocery Store",61.2536,"NC","NCK","28"
"FDH12",9.6,"Low Fat",0.0851310537660041,"Baking Goods",107.128,"OUT045","Small","Tier 2","Supermarket Type1",1278.336,"FD","FDH","11"
"FDJ27",17.7,"Regular",0.122597982347502,"Meat",103.8674,"OUT017","Small","Tier 2","Supermarket Type1",1528.011,"FD","FDJ","6"
"DRL35",15.7,"Low Fat",0.0314241887064225,"Hard Drinks",43.377,"OUT010","Small","Tier 3","Grocery Store",129.831,"DR","DRL","15"
"NCY29",13.65,"Low Fat",0.0776916205353231,"Health and Hygiene",55.093,"OUT017","Small","Tier 2","Supermarket Type1",1301.639,"NC","NCY","6"
"FDC21",14.6,"Regular",0.0432132930319753,"Fruits and Vegetables",110.1254,"OUT017","Small","Tier 2","Supermarket Type1",1844.9318,"FD","FDC","6"
"FDM33",15.6,"Low Fat",0.0882393126324105,"Snack Foods",220.1798,"OUT017","Small","Tier 2","Supermarket Type1",5068.7354,"FD","FDM","6"
"DRJ39",20.25,"Low Fat",0.0362895343669096,"Dairy",217.5482,"OUT013","High","Tier 3","Supermarket Type1",1095.241,"DR","DRJ","26"
"FDB22",8.02,"Low Fat",0.190906313274428,"Snack Foods",151.9998,"OUT010","Small","Tier 3","Grocery Store",307.5996,"FD","FDB","15"
"FDC32",18.35,"Low Fat",0.0990093376067107,"Fruits and Vegetables",93.8462,"OUT013","High","Tier 3","Supermarket Type1",1295.6468,"FD","FDC","26"
"FDD02",16.6,"Low Fat",0.050386815134824,"Canned",118.8124,"OUT046","Small","Tier 1","Supermarket Type1",2607.2728,"FD","FDD","16"
"FDL28",10,"Regular",0.0631550466404675,"Frozen Foods",228.6668,"OUT035","Small","Tier 2","Supermarket Type1",3455.502,"FD","FDL","9"
"FDL39",16.1,"Regular",0.0634317299198756,"Dairy",179.4318,"OUT049","Medium","Tier 1","Supermarket Type1",2345.6134,"FD","FDL","14"
"FDV37",13,"Regular",0.143065607761782,"Canned",196.2426,"OUT010","Small","Tier 3","Grocery Store",197.7426,"FD","FDV","15"
"FDA28",16.1,"Regular",0.0480850442601156,"Frozen Foods",126.5362,"OUT017","Small","Tier 2","Supermarket Type1",1761.7068,"FD","FDA","6"
"FDL04",19,"Low Fat",0.112100811873169,"Frozen Foods",105.5622,"OUT049","Medium","Tier 1","Supermarket Type1",1905.5196,"FD","FDL","14"
"FDR10",17.6,"Low Fat",0.0100367943254786,"Snack Foods",163.5552,"OUT035","Small","Tier 2","Supermarket Type1",3086.6488,"FD","FDR","9"
"FDA39",6.32,"Low Fat",0.0127932826600813,"Meat",39.1822,"OUT017","Small","Tier 2","Supermarket Type1",1060.6194,"FD","FDA","6"
"FDR15",9.3,"Regular",0.0334276668082431,"Meat",153.1314,"OUT035","Small","Tier 2","Supermarket Type1",4653.942,"FD","FDR","9"
"FDQ40",11.1,"Regular",0.0362409377579209,"Frozen Foods",175.0712,"OUT017","Small","Tier 2","Supermarket Type1",3339.6528,"FD","FDQ","6"
"DRG23",8.88,"Low Fat",0.0863266880711327,"Hard Drinks",151.2682,"OUT027","Medium","Tier 3","Other Supermarket",2439.4912,"DR","DRG","28"
"FDU36",6.15,"Low Fat",0.0462244207336235,"Baking Goods",99.4384,"OUT013","High","Tier 3","Supermarket Type1",1379.5376,"FD","FDU","26"
"FDF47",20.85,"Low Fat",0.0976062666161939,"Starchy Foods",223.9746,"OUT046","Small","Tier 1","Supermarket Type1",897.4984,"FD","FDF","16"
"FDH14",17.1,"Regular",0.0468028145647077,"Canned",141.4838,"OUT046","Small","Tier 1","Supermarket Type1",1404.838,"FD","FDH","16"
"FDO45",13.15,"Regular",0.0381161297634143,"Snack Foods",86.3856,"OUT018","Medium","Tier 3","Other Supermarket",615.1992,"FD","FDO","4"
"FDK60",16.5,"Regular",0.0938352973883872,"Baking Goods",95.7068,"OUT035","Small","Tier 2","Supermarket Type1",1069.2748,"FD","FDK","9"
"FDS43",11.65,"Low Fat",0.0407548839316652,"Fruits and Vegetables",185.924,"OUT017","Small","Tier 2","Supermarket Type1",4101.328,"FD","FDS","6"
"FDN44",13.15,"Low Fat",0.0228317401801568,"Fruits and Vegetables",160.292,"OUT049","Medium","Tier 1","Supermarket Type1",4793.76,"FD","FDN","14"
"FDS34",19.35,"Regular",0.0768807332913968,"Snack Foods",113.9518,"OUT049","Medium","Tier 1","Supermarket Type1",1138.518,"FD","FDS","14"
"FDU20",19.35,"Regular",0.0215023558538977,"Fruits and Vegetables",122.2098,"OUT045","Small","Tier 2","Supermarket Type1",2771.7254,"FD","FDU","11"
"FDP44",16.5,"Regular",0.0796334161438333,"Fruits and Vegetables",101.4332,"OUT013","High","Tier 3","Supermarket Type1",1948.1308,"FD","FDP","26"
"FDC02",21.35,"Low Fat",0.0688012256408178,"Canned",258.5278,"OUT035","Small","Tier 2","Supermarket Type1",5206.556,"FD","FDC","9"
"FDT56",16,"Regular",0.11555671674964,"Fruits and Vegetables",57.5246,"OUT035","Small","Tier 2","Supermarket Type1",173.7738,"FD","FDT","9"
"NCA06",20.5,"Low Fat",0.143139522886332,"Household",34.919,"OUT013","High","Tier 3","Supermarket Type1",73.238,"NC","NCA","26"
"FDE04",19.75,"Regular",0.0180049454556203,"Frozen Foods",180.466,"OUT013","High","Tier 3","Supermarket Type1",3415.554,"FD","FDE","26"
"NCX06",17.6,"Low Fat",0.0157799691024101,"Household",179.1976,"OUT017","Small","Tier 2","Supermarket Type1",3803.0496,"NC","NCX","6"
"FDX49",4.615,"Regular",0.102434990852525,"Canned",234.33,"OUT017","Small","Tier 2","Supermarket Type1",3961.51,"FD","FDX","6"
"DRM59",5.88,"Low Fat",0.00360755413353214,"Hard Drinks",154.1998,"OUT018","Medium","Tier 3","Other Supermarket",1384.1982,"DR","DRM","4"
"FDJ34",11.8,"Regular",0.0938041643869644,"Snack Foods",126.0704,"OUT049","Medium","Tier 1","Supermarket Type1",1251.704,"FD","FDJ","14"
"FDP60",17.35,"Low Fat",0.0560092911421566,"Baking Goods",101.9016,"OUT013","High","Tier 3","Supermarket Type1",1821.6288,"FD","FDP","26"
"FDI07",12.35,"Regular",0.0337567231298666,"Meat",196.9426,"OUT046","Small","Tier 1","Supermarket Type1",5141.3076,"FD","FDI","16"
"FDV07",9.5,"Low Fat",0.0311190999121282,"Fruits and Vegetables",111.0228,"OUT027","Medium","Tier 3","Other Supermarket",3205.1612,"FD","FDV","28"
"FDH41",9,"Low Fat",0.0821827680453895,"Frozen Foods",214.1534,"OUT045","Small","Tier 2","Supermarket Type1",1720.4272,"FD","FDH","11"
"NCB31",6.235,"Low Fat",0.118862448678233,"Household",263.291,"OUT049","Medium","Tier 1","Supermarket Type1",3418.883,"NC","NCB","14"
"FDW34",9.6,"Low Fat",0.0356470230915398,"Snack Foods",244.817,"OUT035","Small","Tier 2","Supermarket Type1",4374.306,"FD","FDW","9"
"FDX45",16.75,"Low Fat",0.105476921971139,"Snack Foods",156.163,"OUT017","Small","Tier 2","Supermarket Type1",782.315,"FD","FDX","6"
"FDH14",17.1,"Regular",0.0468827411105153,"Canned",141.3838,"OUT049","Medium","Tier 1","Supermarket Type1",1685.8056,"FD","FDH","14"
"FDF26",6.825,"Regular",0.0798888833302813,"Canned",154.5998,"OUT010","Small","Tier 3","Grocery Store",153.7998,"FD","FDF","15"
"FDU24",6.78,"Regular",0.140993313246234,"Baking Goods",92.212,"OUT017","Small","Tier 2","Supermarket Type1",4101.328,"FD","FDU","6"
"FDX11",16,"Regular",0.107211554991391,"Baking Goods",181.9634,"OUT018","Medium","Tier 3","Other Supermarket",3453.5046,"FD","FDX","4"
"FDF35",15,"Low Fat",0.153941778024288,"Starchy Foods",105.9938,"OUT035","Small","Tier 2","Supermarket Type1",1179.1318,"FD","FDF","9"
"NCC43",7.39,"Low Fat",0.0931822434871766,"Household",251.3066,"OUT018","Medium","Tier 3","Other Supermarket",1004.0264,"NC","NCC","4"
"FDG29",17.6,"Low Fat",0.0562850189633369,"Frozen Foods",42.5454,"OUT046","Small","Tier 1","Supermarket Type1",419.454,"FD","FDG","16"
"FDS44",12.65,"Regular",0.156024829988286,"Fruits and Vegetables",239.6538,"OUT046","Small","Tier 1","Supermarket Type1",3845.6608,"FD","FDS","16"
"FDZ10",17.85,"Low Fat",0.0444580400546146,"Snack Foods",127.102,"OUT046","Small","Tier 1","Supermarket Type1",2024.032,"FD","FDZ","16"
"FDC52",11.15,"Regular",0.00827157410717677,"Dairy",150.4708,"OUT013","High","Tier 3","Supermarket Type1",1956.1204,"FD","FDC","26"
"DRL35",15.7,"Low Fat",0.030694150083795,"Hard Drinks",42.877,"OUT035","Small","Tier 2","Supermarket Type1",1168.479,"DR","DRL","9"
"NCP55",14.65,"Low Fat",0.0114731505950371,"Others",56.4614,"OUT010","Small","Tier 3","Grocery Store",55.2614,"NC","NCP","15"
"FDV38",19.25,"Low Fat",0.101240804780896,"Dairy",55.0956,"OUT027","Medium","Tier 3","Other Supermarket",2020.0372,"FD","FDV","28"
"FDL44",18.25,"Low Fat",0.0123007503085111,"Fruits and Vegetables",160.4894,"OUT045","Small","Tier 2","Supermarket Type1",3073.9986,"FD","FDL","11"
"FDZ47",20.7,"Regular",0.0793792003573314,"Baking Goods",98.7042,"OUT017","Small","Tier 2","Supermarket Type1",1884.8798,"FD","FDZ","6"
"FDT45",15.85,"Low Fat",0.057306416731018,"Snack Foods",53.3956,"OUT046","Small","Tier 1","Supermarket Type1",1364.89,"FD","FDT","16"
"FDN23",6.575,"Regular",0.0756274315151517,"Breads",145.7444,"OUT049","Medium","Tier 1","Supermarket Type1",3193.1768,"FD","FDN","14"
"NCP43",17.75,"Low Fat",0.0305707514146611,"Others",177.866,"OUT045","Small","Tier 2","Supermarket Type1",2336.958,"NC","NCP","11"
"DRJ24",11.8,"Low Fat",0.203207676618754,"Soft Drinks",185.2924,"OUT019","Small","Tier 1","Grocery Store",370.1848,"DR","DRJ","28"
"FDA02",14,"Regular",0.0295669871410592,"Dairy",143.5786,"OUT027","Medium","Tier 3","Other Supermarket",3756.4436,"FD","FDA","28"
"FDH33",12.85,"Low Fat",0.218262662110295,"Snack Foods",44.9428,"OUT019","Small","Tier 1","Grocery Store",175.7712,"FD","FDH","28"
"FDF56",16.7,"Regular",0.120169877297758,"Fruits and Vegetables",181.2976,"OUT017","Small","Tier 2","Supermarket Type1",3078.6592,"FD","FDF","6"
"NCN26",10.85,"Low Fat",0.0286763780247057,"Household",115.1808,"OUT046","Small","Tier 1","Supermarket Type1",2109.2544,"NC","NCN","16"
"FDD22",10,"Low Fat",0.0998076313397431,"Snack Foods",113.7544,"OUT049","Medium","Tier 1","Supermarket Type1",3243.7776,"FD","FDD","14"
"FDU15",13.65,"Regular",0.0455713981460096,"Meat",37.9532,"OUT010","Small","Tier 3","Grocery Store",71.9064,"FD","FDU","15"
"FDB41",19,"Regular",0.166704778495909,"Frozen Foods",46.8718,"OUT010","Small","Tier 3","Grocery Store",189.0872,"FD","FDB","15"
"FDZ35",9.6,"Regular",0.0224104465532926,"Breads",102.499,"OUT017","Small","Tier 2","Supermarket Type1",2579.975,"FD","FDZ","6"
"FDT60",12,"Low Fat",0.0759958310323331,"Baking Goods",124.1388,"OUT017","Small","Tier 2","Supermarket Type1",1486.0656,"FD","FDT","6"
"FDE51",5.925,"Regular",0.0964375438294228,"Dairy",43.8086,"OUT035","Small","Tier 2","Supermarket Type1",312.2602,"FD","FDE","9"
"NCQ06",13,"Low Fat",0.0418116090246222,"Household",254.5014,"OUT035","Small","Tier 2","Supermarket Type1",4845.0266,"NC","NCQ","9"
"FDS28",8.18,"Regular",0.0828897094582489,"Frozen Foods",58.5588,"OUT017","Small","Tier 2","Supermarket Type1",171.7764,"FD","FDS","6"
"FDH32",12.8,"Low Fat",0.07621885756785,"Fruits and Vegetables",96.541,"OUT045","Small","Tier 2","Supermarket Type1",1834.279,"FD","FDH","11"
"FDW37",19.2,"Low Fat",0.124309419122121,"Canned",89.7488,"OUT045","Small","Tier 2","Supermarket Type1",2082.6224,"FD","FDW","11"
"FDY33",14.5,"Regular",0.0971892117507759,"Snack Foods",159.4262,"OUT046","Small","Tier 1","Supermarket Type1",2705.1454,"FD","FDY","16"
"FDF17",5.19,"Low Fat",0.0428733577248517,"Frozen Foods",196.811,"OUT017","Small","Tier 2","Supermarket Type1",3731.809,"FD","FDF","6"
"FDG56",13.3,"Regular",0.0713807087615127,"Fruits and Vegetables",61.0536,"OUT013","High","Tier 3","Supermarket Type1",1592.5936,"FD","FDG","26"
"NCB18",19.6,"Low Fat",0.0412496463229211,"Household",88.8514,"OUT013","High","Tier 3","Supermarket Type1",2125.2336,"NC","NCB","26"
"FDU14",17.75,"Low Fat",0.034741916457174,"Dairy",248.275,"OUT035","Small","Tier 2","Supermarket Type1",998.7,"FD","FDU","9"
"FDU22",12.35,"Low Fat",0.0934444205437885,"Snack Foods",119.1124,"OUT049","Medium","Tier 1","Supermarket Type1",3673.8844,"FD","FDU","14"
"NCV41",14.35,"Low Fat",0.0170216431506663,"Health and Hygiene",109.8228,"OUT013","High","Tier 3","Supermarket Type1",2099.9332,"NC","NCV","26"
"FDY52",6.365,"Low Fat",0.00736363037692525,"Frozen Foods",63.2536,"OUT045","Small","Tier 2","Supermarket Type1",1225.072,"FD","FDY","11"
"DRG48",5.78,"Low Fat",0.0144788335284494,"Soft Drinks",143.9102,"OUT027","Medium","Tier 3","Other Supermarket",3062.0142,"DR","DRG","28"
"FDU01",20.25,"Regular",0.0119324455103804,"Canned",184.7924,"OUT027","Medium","Tier 3","Other Supermarket",4442.2176,"FD","FDU","28"
"NCP53",14.75,"Low Fat",0.0328572721858636,"Health and Hygiene",238.6906,"OUT013","High","Tier 3","Supermarket Type1",4278.4308,"NC","NCP","26"
"FDC17",12.15,"Low Fat",0.0154852297461942,"Frozen Foods",211.9928,"OUT049","Medium","Tier 1","Supermarket Type1",631.1784,"FD","FDC","14"
"NCZ30",6.59,"Low Fat",0.0261586510240281,"Household",121.5098,"OUT013","High","Tier 3","Supermarket Type1",602.549,"NC","NCZ","26"
"FDK03",12.6,"Regular",0.0739113758174916,"Dairy",255.6356,"OUT046","Small","Tier 1","Supermarket Type1",2797.6916,"FD","FDK","16"
"FDE08",18.2,"Low Fat",0.0884338427368392,"Fruits and Vegetables",149.8734,"OUT019","Small","Tier 1","Grocery Store",445.4202,"FD","FDE","28"
"NCM07",9.395,"Low Fat",0.0397525372141291,"Others",83.9908,"OUT027","Medium","Tier 3","Other Supermarket",2348.9424,"NC","NCM","28"
"FDY35",17.6,"Regular",0.0159437359242939,"Breads",47.7402,"OUT027","Medium","Tier 3","Other Supermarket",1975.4286,"FD","FDY","28"
"FDS28",8.18,"Regular",0.0819700147831569,"Frozen Foods",59.2588,"OUT027","Medium","Tier 3","Other Supermarket",1374.2112,"FD","FDS","28"
"FDI56",7.325,"Low Fat",0.0932914731917219,"Fruits and Vegetables",92.7146,"OUT013","High","Tier 3","Supermarket Type1",2006.7212,"FD","FDI","26"
"FDR23",15.85,"Low Fat",0.146651069418849,"Breads",175.837,"OUT019","Small","Tier 1","Grocery Store",352.874,"FD","FDR","28"
"FDF29",15.1,"Regular",0.019965780796186,"Frozen Foods",130.531,"OUT049","Medium","Tier 1","Supermarket Type1",908.817,"FD","FDF","14"
"FDA47",10.5,"Regular",0.116062717098189,"Baking Goods",164.121,"OUT027","Medium","Tier 3","Other Supermarket",6035.477,"FD","FDA","28"
"FDI10",8.51,"Regular",0.0783254841925278,"Snack Foods",172.9422,"OUT013","High","Tier 3","Supermarket Type1",1379.5376,"FD","FDI","26"
"FDC45",17,"Low Fat",0.243379695889812,"Fruits and Vegetables",170.2106,"OUT019","Small","Tier 1","Grocery Store",171.1106,"FD","FDC","28"
"FDA27",20.35,"Regular",0.0311108358964199,"Dairy",257.2672,"OUT017","Small","Tier 2","Supermarket Type1",2045.3376,"FD","FDA","6"
"NCR41",17.85,"Low Fat",0.0181015743141323,"Health and Hygiene",96.9094,"OUT018","Medium","Tier 3","Other Supermarket",1332.9316,"NC","NCR","4"
"FDR09",18.25,"Low Fat",0.0780591348959347,"Snack Foods",258.4962,"OUT018","Medium","Tier 3","Other Supermarket",2848.9582,"FD","FDR","4"
"NCB06",17.6,"Low Fat",0.0822492820460972,"Health and Hygiene",160.492,"OUT013","High","Tier 3","Supermarket Type1",1278.336,"NC","NCB","26"
"FDE53",10.895,"Low Fat",0.0268768636609395,"Frozen Foods",106.428,"OUT046","Small","Tier 1","Supermarket Type1",1491.392,"FD","FDE","16"
"DRE27",11.85,"Low Fat",0.227274776520057,"Dairy",99.6726,"OUT010","Small","Tier 3","Grocery Store",195.7452,"DR","DRE","15"
"NCA06",20.5,"Low Fat",0.142533161646781,"Household",35.919,"OUT027","Medium","Tier 3","Other Supermarket",585.904,"NC","NCA","28"
"FDL56",14.1,"Low Fat",0.126321982893312,"Fruits and Vegetables",88.6198,"OUT018","Medium","Tier 3","Other Supermarket",1133.8574,"FD","FDL","4"
"FDT09",15.15,"Regular",0.0122595132061818,"Snack Foods",131.7284,"OUT035","Small","Tier 2","Supermarket Type1",1186.4556,"FD","FDT","9"
